Melrose Ave & Morman Trek Blvd,8217
Melrose Ave & South Grand Ave,8103
Melrose Ave & Sunset St,8150
Melrose Ave & Westgate St,8211
Melrose Ave & Westwinds Dr,8219
Melrose Court,2071
Mercy Hospital,7443
Miami Dr & California Ave,7055
Miller Ave & Hwy 1 West,8009
Morman Trek Blvd & Benton St,8290
Morman Trek Blvd & Cae Dr,8286
Morman Trek Blvd & Gryn Dr,8275
Morman Trek Blvd & Melrose Ave,8218
Mormon Trek & Bartelt Rd,8330
Mormon Trek and Abbey,8281
Mormon Trek and Plaen View,8279
Mormon Trek Blvd & Cameron Way -Walden Plaza,8228
Mormon Trek Blvd & Rohret Rd,8331
Mount Vernon Dr & Concord Circle,7438
Mount Vernon Dr & Rochester Ave,7425
Mount Vernon Dr 300 Block,7439
Muscatine Ave @ Autumn Park Apartments,7267
Muscatine Ave @ Hy Vee,7258
Muscatine Ave & 2nd Ave - Walgreens,7226
Muscatine Ave & 4th Ave,7224
Muscatine Ave & 5th Ave,7255
Muscatine Ave & 7th Ave,7253
Muscatine Ave & Arthur St,7269
Muscatine Ave & Burlington St,7250
Muscatine Ave & Court St,7252
Muscatine Ave & Dover St,7268
Muscatine Ave & Maplewood Ln,7266
Muscatine Ave & Rundell St,7151
Muscatine Ave & Wade St,7257
Musctine Ave & 2nd Ave - Walgreens Inbound,7227
Newton & Lincoln,245
Newton and Valley,8200
Newton Rd - MERF,256
Newton Rd - UI Student Health,263
Newton Rd - VA Hospital,253
Newton Rd Ramp,257
Newton Rd- Dental College,8201
North Dodge St @ Hy Vee,7509
North Dodge St & ACT Circle,7523
North Dodge St & Bristol Dr,7524
North Dodge St & Brown St,7533
North Dodge St & Church-Horace Mann Elementary,7534
North Dodge St & Market St,7442
North Dodge St & Scott Blvd,7512
North Dodge St & Summit St,7507
North Doge St @ Hy Vee,7508
North Liberty Rec Center,5840
North Ridge Dr & 12th Ave.,5160
North Ridge Dr & Farrel Dr,5150
North Ridge Dr & Lynncrest Dr,5131
North Ridge Dr & Waterford,5140
Oakcrest St & Woodside Dr,8118
Oakdale Blvd & 12th Avenue,3035
Oaknoll Retirement Center #1,8115
Oaknoll Retirement Center #2,8116
Pappajohn Biomedical Discovery Building,264
Park Rd & Beldon Ave,8066
Park Rd & Lexington Ave,8062
Park Rd & Magowen Ave,8064
Park Rd & Normandy Dr,8061
Park Road North,1006
Park Road South,1005
PBB,1021
Pearson Main Entrance,7521
Pearsons Dr & North Dodge St,7522
Pepperwood Plaza,7037
Pheasant Ridge Neighborhood Center,8226
Phoenix Dr & Rohret Rd,8345
Phoenix Dr & Tuscon Place,8344
Ponseti Way,4975
Prairie du Chien Rd & Caroline Court,7526
Prairie du Chien Rd & North Dodge St,7525
Prentiss & Madison,1070
Recreation Fields North,3110
Recreation Fields South,3111
Regency Heights Apts.,7345
Regina Education Center,7418
Rienow Hall,2080
River St & Lee St,8056
River St & Woolf Ave,8055
Riverside & River St,2105
Riverside Dr & Benton St,8006
"Riverside Dr & Hwy 6 - Gateway Center, Iowa City Transit",8016
Riverside Dr & Ruppert Rd,8018
Riverside Dr/ Old Hwy 218 & South Riverside Dr,8022
Riviera Dr & Frontage Rd,7051
Rochester Ave & 1st Ave,7420
Rochester Ave & 7th Ave,7412
Rochester Ave & Ashwood Dr,7414
Rochester Ave & Elizabeth St,7407
Rochester Ave & Larch Ln,7426
Rochester Ave & Memler Court,7410
Rochester Ave & Mount Vernon Dr,7424
Rochester Ave & Pleasant St,7408
Rochester Ave & Post Rd,7422
Rochester Ave & Rita Lyn Court,7416
Rochester Ave & Windsor Court,7415
Rohret Rd - Irving Weber School,8346
Rohret Rd & Duck Creek Dr,8336
Rohret Rd & Hunters Run,8347
Rohret Rd & Ranier Dr,8350
Rohret Rd & Shannon Dr,8349
Ruppert Rd & Hwy 1 West,8012
S. Riverside Dr,8025
Sandusky Dr & Broadway St,7032
Sandusky Dr & Hickory Ct,7030
Sandusky Dr & Keokuk St,7031
Sandusky Dr & Taylor Dr,7038
Santa Fe Dr & Phoenix Dr,8343
Scott Blvd & Liberty Dr - ACT,7129
Scott Blvd & Lower West Branch Rd,7346
Scott BLVD & Sytems Unlimited,7131
Scott Blvd #1,7607
Scott Park Dr & Elgin Dr,7344
Shannon Dr & Rohret Rd,8335
Sheridan St - Longfellow Elementary,7216
Sheridan St & 7th Ave,7220
Sheridan St & Oakland St,7218
Sheridan St & Roosevelt St,7217
Sheridan St & Rundell St,7219
Slater Hall,2081
Softball Complex,100
South Riverside Dr & Commercial Dr,8024
Southgate & Keokuk St,7027
Southgate Ave & Boyrum St,7020
Southgate Ave & Gilbert St,7023
Southgate Ave & Keokuk St,7026
Southgate Ave & Waterfront Dr,7022
Sports Medicine Clinic North,3151
Sports Medicine Clinic South,3150
SSB,3025
STEM East,3029
Stem West,3028
Sugar Creek Ln & Augusta Circle,5865
Sugar Creek Ln & Praire Ridge Rd,5870
Sugar Creek Ln & W Zeller St,5875
Summit St & Bowery St,7215
Summit St & Court St,7214
Sunset St & Aber Ave,8129
Sunset St & Arbury Dr,8126
Sunset St & Benton St,8247
Sunset St & Denbigh Dr,8128
